ID;joke;answer;blanks
1;What do you call a cow with no legs?;Ground beef;cow, legs, ground
2;What do you call a cow with two legs?;Lean beef; cow, legs, lean
3;What do you call a cow with all of its legs?;High steaks; cow, legs, high, steaks
4;What do you call a mountain of cats?;A meowtain; mountain, cats, meowtain
5;What do you call a cow with a twitch?;Beef jerky; cow, twitch, jerky
6;What do you call a sleeping bull?;A bulldozer; bull, sleeping, bulldozer
7;What's a skeleton's favourite instrument?;Trombone; skeleton, instrument, trombone
8;Why was the broom late?;It over swept; broom, late, over, swept
9;What do you call a bear with no teeth?;A gummy bear; bear, teeth, gummy
10;What do you call a belt made of watches?;A waist of time; belt, watches, waist, time
11;Why don't scientists trust atoms?;They make up everything; scientists, atoms, make, everything
12;What do you call a fake noodle?;An impasta; fake, noodle, impasta
13;Why don't eggs tell jokes?;They'd crack up; eggs, jokes, crack
14;What do you call a pig that does karate?;A pork chop; pig, karate, pork, chop
15;Why was the math book sad?;Too many problems; math, book, sad, problems
16;What do you call a snowman with a six-pack?;An abdominal snowman; snowman, six-pack, abdominal
17;What do you call a fish with no eyes?;A fsh; fish, eyes, fsh
18;Why don't programmers like nature?;Too many bugs; nature, bugs
19;Why are giraffes slow to apologize?;It takes them a long time to swallow their pride;giraffes, slow, swallow, pride
20;What side of a leopard has the most spots?;The outside;outside
21;What did daddy fish do when mommy fish got herself lost?;He flounder;daddy, fish, mommy, flounder
22;What do you call an alligator with a vest?;An Investigator!;alligator, vest, investigator
23;Why did the coffee file a police report?;Because it was mugged.;police, report, mugged
24;Want to hear a joke about pizza?;Never mind it is too cheesy.;pizza, cheesy
25;How do you make gold soup?;You use 14 carrots.;gold, fourteen, carrots
26;How do you unlock a monastery door?;With a monk key.;monk, key
27;How did the desk lamp store manager feel when thieves stole all his lightbulbs?;He was delighted.;feel, stole, delighted
28;What do vegetarian zombies eat?;Graaaaaaiiiins......;zombies
29;What did the Triangle say to the Circle?;"""Your life is pointless.""";triangle, circle, life, pointless
30;What does music have to do with safety?;If you don't C sharp, you'll B flat.;sharp, flat
31;What's a pigs favourite muscle?;The hamstring.;pigs, muscle, hamstring
32;How do you stop a charging bull?;Take away its credit card!;stop, charging, credit, card
33;What do you call an Italian guy with a rubber toe?;Roberto;italian, rubber, roberto
34;What did Sean Connery say when his books fell on his head?;I blame my shelf;Connery, books, shelf
35;Why did the sand dune blush?;Because the sea weed;sand, weed
36;What do you call a noisy Chinese dog?;How-Ling;Chinese, dog, How-Ling
37;What do lawyers wear to court?;Law suits!;lawyers, wear, court, law, suits
38;What did one frog say to the other frog?;Time's fun when you're having flies.;frog, fun, flies
39;Why didn't the skeleton go to the party?;He had no *body* to go with;skeleton, party, body
40;Why do they call them light bulbs?;They don't weigh very much;light, weigh
41;What do you call someone who really loves breakfast?;A cereal killer.;breakfast, cereal, killer
42;Why was Cinderella thrown off the basketball team?;*She ran away from the ball.*;Cinderella, ran, ball
43;Why did the bicycle fall over?;Because it was two-tired.;bicycle, fall, tired
44;What do you call a loaf baked in a zoo?;Bread in captivity.;zoo, captivity
45;What does the horse call the pigs on his farm?;Neigh-boars.;horse, pigs, farm, neigh, boars
46;What do you call an economist at an amusement park who is just sitting around?;A lazy fair goer!;amusement, sitting, lazy, fair, goer
47;Why was the dolphin happy and the shark depressed?;The sharks life lacked porpoise.;sharks, porpoise
48;What's the best part of a baker's body?;Their buns.;body, buns
49;What did the flat iron say to the follicle?;Now let me get this straight...;iron, straight
50;Why did the cookie go to the gym?;To get in shape.;cookie, gym, shape
